annotator,document,system,corpus,rank
16,26,prophetnet,xsum,1
16,26,bart,xsum,4
16,26,bertextabs,xsum,2
16,27,pegasus,xsum,2
16,27,prophetnet,xsum,4
16,27,bart,xsum,2
16,27,bertextabs,xsum,1
16,28,pegasus,xsum,2
16,28,prophetnet,xsum,4
16,28,bart,xsum,1
16,28,bertextabs,xsum,2
16,29,pegasus,xsum,4
16,29,prophetnet,xsum,2
16,29,bart,xsum,2
16,29,bertextabs,xsum,1
16,30,pegasus,xsum,4
16,30,prophetnet,xsum,2
16,30,bart,xsum,1
16,30,bertextabs,xsum,2
17,26,pegasus,xsum,2
17,26,prophetnet,xsum,1
17,26,bart,xsum,4
17,26,bertextabs,xsum,2
17,27,pegasus,xsum,1
17,27,prophetnet,xsum,2
17,27,bart,xsum,2
17,27,bertextabs,xsum,4
17,28,pegasus,xsum,2
17,28,prophetnet,xsum,2
17,28,bart,xsum,1
17,28,bertextabs,xsum,4
17,29,pegasus,xsum,1
17,29,prophetnet,xsum,2
17,29,bart,xsum,4
17,29,bertextabs,xsum,2
17,30,pegasus,xsum,2
17,30,prophetnet,xsum,4
17,30,bart,xsum,2
17,30,bertextabs,xsum,1
18,26,pegasus,xsum,2
18,26,prophetnet,xsum,4
18,26,bart,xsum,2
18,26,bertextabs,xsum,1
18,27,pegasus,xsum,2
18,27,prophetnet,xsum,2
18,27,bart,xsum,1
18,27,bertextabs,xsum,4
18,28,pegasus,xsum,1
18,28,prophetnet,xsum,2
18,28,bart,xsum,2
18,28,bertextabs,xsum,4
18,29,pegasus,xsum,1
18,29,prophetnet,xsum,2
18,29,bart,xsum,2
18,29,bertextabs,xsum,4
18,30,pegasus,xsum,2
18,30,prophetnet,xsum,4
18,30,bart,xsum,2
18,30,bertextabs,xsum,2
19,31,pegasus,xsum,4
19,31,prophetnet,xsum,2
19,31,bart,xsum,2
19,31,bertextabs,xsum,1
19,32,pegasus,xsum,2
19,32,prophetnet,xsum,1
19,32,bart,xsum,2
19,32,bertextabs,xsum,4
19,33,pegasus,xsum,2
19,33,prophetnet,xsum,4
19,33,bart,xsum,2
19,33,bertextabs,xsum,1
19,34,pegasus,xsum,2
19,34,prophetnet,xsum,2
19,34,bart,xsum,1
19,34,bertextabs,xsum,4
19,35,pegasus,xsum,2
19,35,prophetnet,xsum,4
19,35,bart,xsum,2
19,35,bertextabs,xsum,1
20,31,pegasus,xsum,4
20,31,prophetnet,xsum,2
20,31,bart,xsum,2
20,31,bertextabs,xsum,1
20,32,pegasus,xsum,1
20,32,prophetnet,xsum,2
20,32,bart,xsum,4
20,32,bertextabs,xsum,2
20,33,pegasus,xsum,2
20,33,prophetnet,xsum,2
20,33,bart,xsum,1
20,33,bertextabs,xsum,4
20,34,pegasus,xsum,1
20,34,prophetnet,xsum,4
20,34,bart,xsum,2
20,34,bertextabs,xsum,2
20,35,pegasus,xsum,4
20,35,prophetnet,xsum,2
20,35,bart,xsum,2
20,35,bertextabs,xsum,1
21,31,pegasus,xsum,2
21,31,prophetnet,xsum,4
21,31,bart,xsum,2
21,31,bertextabs,xsum,1
21,32,pegasus,xsum,2
21,32,prophetnet,xsum,2
21,32,bart,xsum,1
21,32,bertextabs,xsum,4
21,33,pegasus,xsum,2
21,33,prophetnet,xsum,4
21,33,bart,xsum,2
21,33,bertextabs,xsum,1
21,34,pegasus,xsum,1
21,34,prophetnet,xsum,4
21,34,bart,xsum,2
21,34,bertextabs,xsum,2
21,35,pegasus,xsum,2
21,35,prophetnet,xsum,2
21,35,bart,xsum,4
21,35,bertextabs,xsum,1
22,36,pegasus,xsum,2
22,36,prophetnet,xsum,2
22,36,bart,xsum,4
22,36,bertextabs,xsum,1
22,37,pegasus,xsum,2
22,37,prophetnet,xsum,4
22,37,bart,xsum,2
22,37,bertextabs,xsum,1
22,38,pegasus,xsum,4
22,38,prophetnet,xsum,1
22,38,bart,xsum,2
22,38,bertextabs,xsum,2
22,39,pegasus,xsum,2
22,39,prophetnet,xsum,4
22,39,bart,xsum,2
22,39,bertextabs,xsum,1
22,40,pegasus,xsum,4
22,40,prophetnet,xsum,2
22,40,bart,xsum,1
22,40,bertextabs,xsum,2
23,36,pegasus,xsum,2
23,36,prophetnet,xsum,4
23,36,bart,xsum,2
23,36,bertextabs,xsum,1
23,37,pegasus,xsum,1
23,37,prophetnet,xsum,2
23,37,bart,xsum,4
23,37,bertextabs,xsum,2
23,38,pegasus,xsum,2
23,38,prophetnet,xsum,1
23,38,bart,xsum,4
23,38,bertextabs,xsum,2
23,39,pegasus,xsum,2
23,39,prophetnet,xsum,4
23,39,bart,xsum,2
23,39,bertextabs,xsum,1
23,40,pegasus,xsum,4
23,40,prophetnet,xsum,2
23,40,bart,xsum,1
23,40,bertextabs,xsum,2
24,36,pegasus,xsum,2
24,36,prophetnet,xsum,2
24,36,bart,xsum,4
24,36,bertextabs,xsum,1
24,37,pegasus,xsum,4
24,37,prophetnet,xsum,2
24,37,bart,xsum,1
24,37,bertextabs,xsum,2
24,38,pegasus,xsum,2
24,38,prophetnet,xsum,1
24,38,bart,xsum,4
24,38,bertextabs,xsum,2
24,39,pegasus,xsum,2
24,39,prophetnet,xsum,4
24,39,bart,xsum,2
24,39,bertextabs,xsum,1
24,40,pegasus,xsum,2
24,40,prophetnet,xsum,1
24,40,bart,xsum,4
24,40,bertextabs,xsum,2
25,41,pegasus,xsum,1
25,41,prophetnet,xsum,2
25,41,bart,xsum,4
25,41,bertextabs,xsum,2
25,42,pegasus,xsum,1
25,42,prophetnet,xsum,2
25,42,bart,xsum,2
25,42,bertextabs,xsum,4
25,43,pegasus,xsum,1
25,43,prophetnet,xsum,2
25,43,bart,xsum,2
25,43,bertextabs,xsum,4
25,44,pegasus,xsum,4
25,44,prophetnet,xsum,2
25,44,bart,xsum,1
25,44,bertextabs,xsum,2
25,45,pegasus,xsum,2
25,45,prophetnet,xsum,4
25,45,bart,xsum,2
25,45,bertextabs,xsum,1
26,41,pegasus,xsum,1
26,41,prophetnet,xsum,2
26,41,bart,xsum,4
26,41,bertextabs,xsum,2
26,42,pegasus,xsum,2
26,42,prophetnet,xsum,2
26,42,bart,xsum,1
26,42,bertextabs,xsum,4
26,43,pegasus,xsum,2
26,43,prophetnet,xsum,2
26,43,bart,xsum,4
26,43,bertextabs,xsum,1
