annotator,document,system,corpus,score
24,37,prophetnet,cnndm,10
24,37,bart,cnndm,10
24,37,bertextabs,cnndm,10
24,38,pegasus,cnndm,10
24,38,prophetnet,cnndm,7
24,38,bart,cnndm,10
24,38,bertextabs,cnndm,10
24,39,pegasus,cnndm,9
24,39,prophetnet,cnndm,9
24,39,bart,cnndm,10
24,39,bertextabs,cnndm,4
24,40,pegasus,cnndm,10
24,40,prophetnet,cnndm,10
24,40,bart,cnndm,9
24,40,bertextabs,cnndm,9
25,41,pegasus,cnndm,7
25,41,prophetnet,cnndm,8
25,41,bart,cnndm,6
25,41,bertextabs,cnndm,8
25,42,pegasus,cnndm,9
25,42,prophetnet,cnndm,7
25,42,bart,cnndm,7
25,42,bertextabs,cnndm,8
25,43,pegasus,cnndm,8
25,43,prophetnet,cnndm,6
25,43,bart,cnndm,9
25,43,bertextabs,cnndm,8
25,44,pegasus,cnndm,9
25,44,prophetnet,cnndm,9
25,44,bart,cnndm,9
25,44,bertextabs,cnndm,8
25,45,pegasus,cnndm,9
25,45,prophetnet,cnndm,9
25,45,bart,cnndm,8
25,45,bertextabs,cnndm,9
26,41,pegasus,cnndm,8
26,41,prophetnet,cnndm,6
26,41,bart,cnndm,8
26,41,bertextabs,cnndm,7
26,42,pegasus,cnndm,8
26,42,prophetnet,cnndm,7
26,42,bart,cnndm,4
26,42,bertextabs,cnndm,6
26,43,pegasus,cnndm,4
26,43,prophetnet,cnndm,3
26,43,bart,cnndm,3
26,43,bertextabs,cnndm,7
26,44,pegasus,cnndm,7
26,44,prophetnet,cnndm,6
26,44,bart,cnndm,7
26,44,bertextabs,cnndm,8
26,45,pegasus,cnndm,6
26,45,prophetnet,cnndm,6
26,45,bart,cnndm,6
26,45,bertextabs,cnndm,7
27,41,pegasus,cnndm,9
27,41,prophetnet,cnndm,8
27,41,bart,cnndm,9
27,41,bertextabs,cnndm,10
27,42,pegasus,cnndm,9
27,42,prophetnet,cnndm,8
27,42,bart,cnndm,9
27,42,bertextabs,cnndm,7
27,43,pegasus,cnndm,9
27,43,prophetnet,cnndm,10
27,43,bart,cnndm,9
27,43,bertextabs,cnndm,10
27,44,pegasus,cnndm,8
27,44,prophetnet,cnndm,8
27,44,bart,cnndm,7
27,44,bertextabs,cnndm,9
27,45,pegasus,cnndm,8
27,45,prophetnet,cnndm,8
27,45,bart,cnndm,6
27,45,bertextabs,cnndm,10
28,46,pegasus,cnndm,7
28,46,prophetnet,cnndm,7
28,46,bart,cnndm,9
28,46,bertextabs,cnndm,8
28,47,pegasus,cnndm,4
28,47,prophetnet,cnndm,5
28,47,bart,cnndm,2
28,47,bertextabs,cnndm,3
28,48,pegasus,cnndm,8
28,48,prophetnet,cnndm,4
28,48,bart,cnndm,6
28,48,bertextabs,cnndm,8
28,49,pegasus,cnndm,8
28,49,prophetnet,cnndm,6
28,49,bart,cnndm,7
28,49,bertextabs,cnndm,4
28,50,pegasus,cnndm,5
28,50,prophetnet,cnndm,2
28,50,bart,cnndm,4
28,50,bertextabs,cnndm,3
29,46,pegasus,cnndm,7
29,46,prophetnet,cnndm,8
29,46,bart,cnndm,10
29,46,bertextabs,cnndm,10
29,47,pegasus,cnndm,7
29,47,prophetnet,cnndm,9
29,47,bart,cnndm,8
29,47,bertextabs,cnndm,9
29,48,pegasus,cnndm,6
29,48,prophetnet,cnndm,5
29,48,bart,cnndm,7
29,48,bertextabs,cnndm,10
29,49,pegasus,cnndm,9
29,49,prophetnet,cnndm,9
29,49,bart,cnndm,7
29,49,bertextabs,cnndm,6
29,50,pegasus,cnndm,8
29,50,prophetnet,cnndm,7
29,50,bart,cnndm,8
29,50,bertextabs,cnndm,9
30,46,pegasus,cnndm,8
30,46,prophetnet,cnndm,9
30,46,bart,cnndm,9
30,46,bertextabs,cnndm,6
30,47,pegasus,cnndm,9
30,47,prophetnet,cnndm,7
30,47,bart,cnndm,8
30,47,bertextabs,cnndm,7
30,48,pegasus,cnndm,5
30,48,prophetnet,cnndm,4
30,48,bart,cnndm,9
30,48,bertextabs,cnndm,8
30,49,pegasus,cnndm,9
30,49,prophetnet,cnndm,8
30,49,bart,cnndm,7
30,49,bertextabs,cnndm,7
30,50,pegasus,cnndm,7
30,50,prophetnet,cnndm,7
30,50,bart,cnndm,4
30,50,bertextabs,cnndm,4
31,51,pegasus,cnndm,6
31,51,prophetnet,cnndm,8
31,51,bart,cnndm,3
31,51,bertextabs,cnndm,4
31,52,pegasus,cnndm,8
31,52,prophetnet,cnndm,1
31,52,bart,cnndm,9
31,52,bertextabs,cnndm,7
31,53,pegasus,cnndm,6
31,53,prophetnet,cnndm,1
31,53,bart,cnndm,8
31,53,bertextabs,cnndm,1
31,54,pegasus,cnndm,7
31,54,prophetnet,cnndm,4
31,54,bart,cnndm,8
31,54,bertextabs,cnndm,7
31,55,pegasus,cnndm,7
31,55,prophetnet,cnndm,2
31,55,bart,cnndm,8
31,55,bertextabs,cnndm,4
32,51,pegasus,cnndm,7
32,51,prophetnet,cnndm,7
32,51,bart,cnndm,7
32,51,bertextabs,cnndm,2
32,52,pegasus,cnndm,10
32,52,prophetnet,cnndm,5
32,52,bart,cnndm,9
32,52,bertextabs,cnndm,9
32,53,pegasus,cnndm,5
32,53,prophetnet,cnndm,5
32,53,bart,cnndm,7
32,53,bertextabs,cnndm,4
32,54,pegasus,cnndm,8
32,54,prophetnet,cnndm,9
32,54,bart,cnndm,9
32,54,bertextabs,cnndm,9
32,55,pegasus,cnndm,8
32,55,prophetnet,cnndm,4
32,55,bart,cnndm,9
32,55,bertextabs,cnndm,8
33,51,pegasus,cnndm,7
33,51,prophetnet,cnndm,10
33,51,bart,cnndm,4
33,51,bertextabs,cnndm,1
33,52,pegasus,cnndm,8
33,52,prophetnet,cnndm,4
33,52,bart,cnndm,6
33,52,bertextabs,cnndm,5
33,53,pegasus,cnndm,5
33,53,prophetnet,cnndm,7
33,53,bart,cnndm,6
33,53,bertextabs,cnndm,8
33,54,pegasus,cnndm,6
33,54,prophetnet,cnndm,7
33,54,bart,cnndm,9
33,54,bertextabs,cnndm,3
33,55,pegasus,cnndm,3
33,55,prophetnet,cnndm,7
33,55,bart,cnndm,7
33,55,bertextabs,cnndm,4
34,56,pegasus,cnndm,10
34,56,prophetnet,cnndm,10
34,56,bart,cnndm,10
34,56,bertextabs,cnndm,10
34,57,pegasus,cnndm,8
34,57,prophetnet,cnndm,9
34,57,bart,cnndm,10
34,57,bertextabs,cnndm,10
34,58,pegasus,cnndm,10
34,58,prophetnet,cnndm,10
34,58,bart,cnndm,10
34,58,bertextabs,cnndm,9
34,59,pegasus,cnndm,10
34,59,prophetnet,cnndm,10
34,59,bart,cnndm,10
34,59,bertextabs,cnndm,10
34,60,pegasus,cnndm,10
34,60,prophetnet,cnndm,10
34,60,bart,cnndm,10
34,60,bertextabs,cnndm,9
35,56,pegasus,cnndm,9
35,56,prophetnet,cnndm,9
35,56,bart,cnndm,9
35,56,bertextabs,cnndm,8
35,57,pegasus,cnndm,9
35,57,prophetnet,cnndm,8
35,57,bart,cnndm,9
35,57,bertextabs,cnndm,9
35,58,pegasus,cnndm,9
35,58,prophetnet,cnndm,9
35,58,bart,cnndm,8
35,58,bertextabs,cnndm,9
35,59,pegasus,cnndm,9
35,59,prophetnet,cnndm,9
35,59,bart,cnndm,8
35,59,bertextabs,cnndm,8
35,60,pegasus,cnndm,9
35,60,prophetnet,cnndm,9
35,60,bart,cnndm,9
35,60,bertextabs,cnndm,8
36,56,pegasus,cnndm,6
36,56,prophetnet,cnndm,4
36,56,bart,cnndm,6
36,56,bertextabs,cnndm,8
36,57,pegasus,cnndm,7
36,57,prophetnet,cnndm,6
36,57,bart,cnndm,7
36,57,bertextabs,cnndm,7
36,58,pegasus,cnndm,8
36,58,prophetnet,cnndm,9
36,58,bart,cnndm,9
36,58,bertextabs,cnndm,9
36,59,pegasus,cnndm,7
36,59,prophetnet,cnndm,5
36,59,bart,cnndm,9
36,59,bertextabs,cnndm,4
36,60,pegasus,cnndm,6
36,60,prophetnet,cnndm,7
36,60,bart,cnndm,10
36,60,bertextabs,cnndm,9
37,61,pegasus,cnndm,6
37,61,prophetnet,cnndm,9
37,61,bart,cnndm,7
37,61,bertextabs,cnndm,9
37,62,pegasus,cnndm,7
37,62,prophetnet,cnndm,10
37,62,bart,cnndm,9
37,62,bertextabs,cnndm,9
37,63,pegasus,cnndm,10
37,63,prophetnet,cnndm,10
37,63,bart,cnndm,8
37,63,bertextabs,cnndm,7
37,64,pegasus,cnndm,7
37,64,prophetnet,cnndm,6
37,64,bart,cnndm,10
37,64,bertextabs,cnndm,5
37,65,pegasus,cnndm,7
37,65,prophetnet,cnndm,9
37,65,bart,cnndm,7
37,65,bertextabs,cnndm,10
38,61,pegasus,cnndm,7
38,61,prophetnet,cnndm,4
38,61,bart,cnndm,7
38,61,bertextabs,cnndm,9
38,62,pegasus,cnndm,10
38,62,prophetnet,cnndm,9
38,62,bart,cnndm,10
38,62,bertextabs,cnndm,2
38,63,pegasus,cnndm,2
38,63,prophetnet,cnndm,8
38,63,bart,cnndm,7
38,63,bertextabs,cnndm,5
38,64,pegasus,cnndm,9
38,64,prophetnet,cnndm,7
38,64,bart,cnndm,5
38,64,bertextabs,cnndm,8
38,65,pegasus,cnndm,8
38,65,prophetnet,cnndm,2
38,65,bart,cnndm,7
38,65,bertextabs,cnndm,8
39,61,pegasus,cnndm,7
39,61,prophetnet,cnndm,1
39,61,bart,cnndm,10
39,61,bertextabs,cnndm,9
39,62,pegasus,cnndm,10
39,62,prophetnet,cnndm,10
39,62,bart,cnndm,9
39,62,bertextabs,cnndm,9
39,63,pegasus,cnndm,4
39,63,prophetnet,cnndm,2
39,63,bart,cnndm,8
39,63,bertextabs,cnndm,8
39,64,pegasus,cnndm,10
39,64,prophetnet,cnndm,8
39,64,bart,cnndm,10
39,64,bertextabs,cnndm,9
39,65,pegasus,cnndm,10
39,65,prophetnet,cnndm,9
39,65,bart,cnndm,10
39,65,bertextabs,cnndm,10
40,66,pegasus,cnndm,10
40,66,prophetnet,cnndm,10
40,66,bart,cnndm,10
40,66,bertextabs,cnndm,10
40,67,pegasus,cnndm,10
40,67,prophetnet,cnndm,10
40,67,bart,cnndm,10
40,67,bertextabs,cnndm,10
40,68,pegasus,cnndm,10
40,68,prophetnet,cnndm,10
40,68,bart,cnndm,10
40,68,bertextabs,cnndm,10
40,69,pegasus,cnndm,8
40,69,prophetnet,cnndm,10
40,69,bart,cnndm,10
40,69,bertextabs,cnndm,10
40,70,pegasus,cnndm,10
40,70,prophetnet,cnndm,10
40,70,bart,cnndm,10
40,70,bertextabs,cnndm,10
41,66,pegasus,cnndm,9
41,66,prophetnet,cnndm,7
41,66,bart,cnndm,8
41,66,bertextabs,cnndm,5
41,67,pegasus,cnndm,6
41,67,prophetnet,cnndm,10
41,67,bart,cnndm,8
41,67,bertextabs,cnndm,4
41,68,pegasus,cnndm,7
41,68,prophetnet,cnndm,8
41,68,bart,cnndm,8
41,68,bertextabs,cnndm,8
41,69,pegasus,cnndm,8
41,69,prophetnet,cnndm,7
41,69,bart,cnndm,7
41,69,bertextabs,cnndm,8
41,70,pegasus,cnndm,10
41,70,prophetnet,cnndm,9
41,70,bart,cnndm,8
41,70,bertextabs,cnndm,8
42,66,pegasus,cnndm,6
42,66,prophetnet,cnndm,10
42,66,bart,cnndm,10
42,66,bertextabs,cnndm,10
42,67,pegasus,cnndm,10
42,67,prophetnet,cnndm,3
42,67,bart,cnndm,10
42,67,bertextabs,cnndm,3
42,68,pegasus,cnndm,7
42,68,prophetnet,cnndm,4
42,68,bart,cnndm,6
42,68,bertextabs,cnndm,10
42,69,pegasus,cnndm,6
42,69,prophetnet,cnndm,7
42,69,bart,cnndm,3
42,69,bertextabs,cnndm,10
42,70,pegasus,cnndm,9
42,70,prophetnet,cnndm,10
42,70,bart,cnndm,8
42,70,bertextabs,cnndm,8
43,71,pegasus,cnndm,10
43,71,prophetnet,cnndm,4
43,71,bart,cnndm,6
43,71,bertextabs,cnndm,1
43,72,pegasus,cnndm,2
43,72,prophetnet,cnndm,7
43,72,bart,cnndm,7
43,72,bertextabs,cnndm,4
43,73,pegasus,cnndm,9
43,73,prophetnet,cnndm,7
43,73,bart,cnndm,8
43,73,bertextabs,cnndm,8
43,74,pegasus,cnndm,8
43,74,prophetnet,cnndm,8
43,74,bart,cnndm,9
43,74,bertextabs,cnndm,5
43,75,pegasus,cnndm,7
43,75,prophetnet,cnndm,7
43,75,bart,cnndm,8
43,75,bertextabs,cnndm,6
44,71,pegasus,cnndm,7
44,71,prophetnet,cnndm,9
44,71,bart,cnndm,6
44,71,bertextabs,cnndm,3
44,72,pegasus,cnndm,3
44,72,prophetnet,cnndm,8
44,72,bart,cnndm,10
44,72,bertextabs,cnndm,3
44,73,pegasus,cnndm,10
44,73,prophetnet,cnndm,8
44,73,bart,cnndm,9
44,73,bertextabs,cnndm,9
