annotator,document,system,corpus,rank
35,60,bertextabs,cnndm,2
36,56,pegasus,cnndm,2
36,56,prophetnet,cnndm,1
36,56,bart,cnndm,4
36,56,bertextabs,cnndm,2
36,57,pegasus,cnndm,1
36,57,prophetnet,cnndm,2
36,57,bart,cnndm,4
36,57,bertextabs,cnndm,2
36,58,pegasus,cnndm,4
36,58,prophetnet,cnndm,2
36,58,bart,cnndm,2
36,58,bertextabs,cnndm,1
36,59,pegasus,cnndm,1
36,59,prophetnet,cnndm,4
36,59,bart,cnndm,2
36,59,bertextabs,cnndm,2
36,60,pegasus,cnndm,2
36,60,prophetnet,cnndm,1
36,60,bart,cnndm,4
36,60,bertextabs,cnndm,2
37,61,pegasus,cnndm,4
37,61,prophetnet,cnndm,1
37,61,bart,cnndm,2
37,61,bertextabs,cnndm,2
37,62,pegasus,cnndm,2
37,62,prophetnet,cnndm,1
37,62,bart,cnndm,4
37,62,bertextabs,cnndm,2
37,63,pegasus,cnndm,2
37,63,prophetnet,cnndm,4
37,63,bart,cnndm,2
37,63,bertextabs,cnndm,1
37,64,pegasus,cnndm,4
37,64,prophetnet,cnndm,2
37,64,bart,cnndm,1
37,64,bertextabs,cnndm,2
37,65,pegasus,cnndm,4
37,65,prophetnet,cnndm,1
37,65,bart,cnndm,2
37,65,bertextabs,cnndm,2
38,61,pegasus,cnndm,1
38,61,prophetnet,cnndm,4
38,61,bart,cnndm,2
38,61,bertextabs,cnndm,2
38,62,pegasus,cnndm,2
38,62,prophetnet,cnndm,1
38,62,bart,cnndm,4
38,62,bertextabs,cnndm,2
38,63,pegasus,cnndm,4
38,63,prophetnet,cnndm,2
38,63,bart,cnndm,2
38,63,bertextabs,cnndm,1
38,64,pegasus,cnndm,4
38,64,prophetnet,cnndm,2
38,64,bart,cnndm,1
38,64,bertextabs,cnndm,2
38,65,pegasus,cnndm,2
38,65,prophetnet,cnndm,1
38,65,bart,cnndm,2
38,65,bertextabs,cnndm,4
39,61,pegasus,cnndm,2
39,61,prophetnet,cnndm,1
39,61,bart,cnndm,4
39,61,bertextabs,cnndm,2
39,62,pegasus,cnndm,4
39,62,prophetnet,cnndm,2
39,62,bart,cnndm,2
39,62,bertextabs,cnndm,1
39,63,pegasus,cnndm,1
39,63,prophetnet,cnndm,2
39,63,bart,cnndm,2
39,63,bertextabs,cnndm,4
39,64,pegasus,cnndm,4
39,64,prophetnet,cnndm,1
39,64,bart,cnndm,2
39,64,bertextabs,cnndm,2
39,65,pegasus,cnndm,4
39,65,prophetnet,cnndm,2
39,65,bart,cnndm,2
39,65,bertextabs,cnndm,1
40,66,pegasus,cnndm,4
40,66,prophetnet,cnndm,2
40,66,bart,cnndm,2
40,66,bertextabs,cnndm,1
40,67,pegasus,cnndm,4
40,67,prophetnet,cnndm,2
40,67,bart,cnndm,2
40,67,bertextabs,cnndm,1
